shid,spid,stid,ssid,sidp,sidn,syearid,spidno,stseqno,sseqno,shaboro,spiwtlul,smode,samode,semode,swalkdur,sbchs,sinttype,srdsht,srdshtp,srsdiffmode,sociox,socioxb,sosect,soaboro,sofarezn,soccz,sowez,sdciox,sdcioxb,sdsect,sdaboro,sdfarezn,sdccz,sdwez,sodcioxba1,sodcioxba2,slenn,slen100m,sdur5,sspeed5,staxib,shiwt,spiwt,shiwtwkd,spiwtwkd,shiwtttwkd,spiwtttwkd,shiwttuesthurs,spiwttuesthurs
24101151,800008,241011510301,24101151030101,-1,24101151030102,24,3,1,1,20,0,1,-1,13,12,-1,2,-1,-1,-1,3,3,5,20,0,0,0,3,3,5,20,0,0,0,4,8,1.247,1.2,10,5,-1,650.0441747491577,589.2985564138564,843.8243719463068,778.7360581214667,969.0313189313644,860.4826895991307,1301.619900387857,1639.265747163898
24101151,800008,241011510301,24101151030102,24101151030101,24101151030103,24,3,1,2,20,0,13,1,1,-1,-1,2,-1,-1,-1,3,3,5,20,0,0,0,3,3,5,20,0,0,0,4,8,0.876,0.8,0,15,-1,650.0441747491577,589.2985564138564,843.8243719463068,778.7360581214667,969.0313189313644,860.4826895991307,1301.619900387857,1639.265747163898
24101151,800008,241011510301,24101151030103,24101151030102,-1,24,3,1,3,20,0,1,13,-1,1,-1,11,-1,-1,-1,3,3,5,20,0,0,0,3,3,5,20,0,0,0,4,8,0.161,0.1,0,5,-1,650.0441747491577,589.2985564138564,843.8243719463068,778.7360581214667,969.0313189313644,860.4826895991307,1301.619900387857,1639.265747163898
24101151,800008,241011510302,24101151030201,-1,24101151030202,24,3,2,1,20,0,1,-1,13,2,-1,2,-1,-1,-1,3,3,5,20,0,0,0,3,3,5,20,0,0,0,4,8,0.061,0.0,0,0,-1,650.0441747491577,589.2985564138564,843.8243719463068,778.7360581214667,969.0313189313644,860.4826895991307,1301.619900387857,1639.265747163898
24101151,800008,241011510302,24101151030202,24101151030201,24101151030203,24,3,2,2,20,0,13,1,1,-1,-1,2,-1,-1,-1,3,3,5,20,0,0,0,3,3,5,20,0,0,0,4,8,0.771,0.7,5,5,-1,650.0441747491577,589.2985564138564,843.8243719463068,778.7360581214667,969.0313189313644,860.4826895991307,1301.619900387857,1639.265747163898
24101151,800008,241011510302,24101151030203,24101151030202,-1,24,3,2,3,20,0,1,13,-1,15,-1,11,-1,-1,-1,3,3,5,20,0,0,0,3,3,5,20,0,0,0,4,8,1.247,1.2,20,0,-1,650.0441747491577,589.2985564138564,843.8243719463068,778.7360581214667,969.0313189313644,860.4826895991307,1301.619900387857,1639.265747163898
24101151,800009,241011510401,24101151040101,-1,24101151040102,24,4,1,1,20,0,4,-1,1,-1,-1,1,-1,-1,-1,3,3,5,20,0,0,0,3,3,5,20,0,0,0,4,8,2.049,2.0,10,10,-1,650.0441747491577,589.2985564138564,843.8243719463068,778.7360581214667,969.0313189313644,860.4826895991307,1301.619900387857,1639.265747163898
24101151,800009,241011510401,24101151040102,24101151040101,-1,24,4,1,2,20,0,1,4,-1,1,-1,11,-1,-1,-1,3,3,5,20,0,0,0,3,3,5,20,0,0,0,4,8,0.0,0.0,0,-2,-1,650.0441747491577,589.2985564138564,843.8243719463068,778.7360581214667,969.0313189313644,860.4826895991307,1301.619900387857,1639.265747163898
24101151,800009,241011510402,24101151040201,-1,-1,24,4,2,1,20,0,1,-1,-1,15,-1,11,-1,-1,-1,3,3,5,20,0,0,0,3,3,5,20,0,0,0,4,8,0.705,0.7,15,0,-1,650.0441747491577,589.2985564138564,843.8243719463068,778.7360581214667,969.0313189313644,860.4826895991307,1301.619900387857,1639.265747163898
24101151,800009,241011510403,24101151040301,-1,-1,24,4,3,1,20,0,4,-1,-1,-1,-1,11,-1,-1,-1,3,3,5,20,0,0,0,3,3,5,20,0,0,0,4,8,1.372,1.3,10,5,-1,650.0441747491577,589.2985564138564,843.8243719463068,778.7360581214667,969.0313189313644,860.4826895991307,1301.619900387857,1639.265747163898
24407252,800013,244072520101,24407252010101,-1,-1,24,1,1,1,31,0,2,-1,-1,-1,-1,11,-1,-1,-1,3,3,6,31,0,0,0,2,2,1,13,0,0,0,6,3,4.533,4.5,30,5,-1,349.4639876363681,311.0834645587338,477.4579508546382,590.7296624657617,564.7154294769159,716.8403676327731,,
24407252,800013,244072520102,24407252010201,-1,-1,24,1,2,1,31,0,2,-1,-1,-1,-1,11,-1,-1,-1,2,2,1,13,0,0,0,3,3,6,31,0,0,0,6,7,4.533,4.5,35,5,-1,349.4639876363681,311.0834645587338,477.4579508546382,590.7296624657617,564.7154294769159,716.8403676327731,,
24407252,800014,244072520201,24407252020101,-1,-1,24,2,1,1,31,0,1,-1,-1,10,-1,11,-1,-1,-1,3,3,6,31,0,0,0,3,3,6,31,0,0,0,4,8,0.753,0.7,10,0,-1,349.4639876363681,428.7823274203158,477.4579508546382,907.4937930125824,564.7154294769159,921.1611292742056,,
24407252,800014,244072520202,24407252020201,-1,-1,24,2,2,1,31,0,1,-1,-1,10,-1,11,-1,-1,-1,3,3,6,31,0,0,0,3,3,6,31,0,0,0,4,8,0.753,0.7,10,0,-1,349.4639876363681,428.7823274203158,477.4579508546382,907.4937930125824,564.7154294769159,921.1611292742056,,
