thid,tpid,ttid,tidp,tidn,tyearid,tstagesn,thaboro,tt1fhm,twalkatw,tcycatw,tdbmmode,thmmode,tppw,tcmode,tsdaddr,topurp,topurpi,tdpurp,tjpurpi,tshour,tehour,totimea,tunder5,thover5,tnhover5,tshop,twork,tbulknone,tbulkpc,tbulkscr,tbulkcom,tbulkshop,tbulkspo,tbulkwork,tbulkoth,tabtyoung,tabtnone,tpassn,tpktype,tbcychre,tcycshw,tociox,tocioxb,tosect,toaboro,tofarezn,toccz,tdciox,tdcioxb,tdaboro,tdfarezn,tdccz,todcioxba1,todcioxba2,tdur5,tlen,tspeed5,tdummy,tleavemon,tleavetue,tleavewed,tleavethu,tleavefri,tleavesat,tleavesun,toland,thiwt,tpiwt,thiwtwkd,tpiwtwkd,thiwtttwkd,tpiwtttwkd,thiwttuesthurs,tpiwttuesthurs
900001,800001,240403110102,240403110101,240403110103,24,1,17,-1,2,2,Car driver,3,1,13,1,06 Other (inc Escort/ Worship),06 Other (inc Escort/ Worship),06 Home,06 Other (inc Escort/ Worship),8,9,2,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,1,7,-1,-1,3,3,4,23,0,0,3,3,17,0,0,4,8,10,4.0,15,2,,,,,,,,6,741.1762318382898,695.5124568849158,988.9682240335372,1037.576961675772,1261.8471445228,1297.208038904117,1616.0233777,1818.4045961
900001,800001,240403110103,240403110102,240403110104,24,4,17,1,2,2,Car driver,19,2,5,4,06 Home,06 Home,01 Usual/ other work,01 Usual/ other work,10,11,3,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,1,4,-1,-1,3,3,4,17,0,0,2,2,10,0,0,6,3,60,7.0,5,2,,,,,,,,1,741.1762318382898,695.5124568849158,988.9682240335372,1037.576961675772,1261.8471445228,1297.208038904117,1616.0233777,1818.4045961
900001,800002,240403110201,-1,240403110202,24,4,17,1,2,2,National Rail/ Overground,19,2,1,4,06 Home,06 Home,01 Usual/ other work,01 Usual/ other work,8,9,2,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,4,17,0,0,1,1,6,0,0,5,1,60,10.0,15,2,,,,,,,,1,741.1762318382898,692.4343147718516,988.9682240335372,1027.233856061794,1261.8471445228,1257.022829504672,1616.0233777,1757.0138336
900001,800001,240403110104,240403110103,-1,24,4,17,-1,2,2,Car driver,19,2,5,1,01 Usual/ other work,01 Usual/ other work,06 Home,01 Usual/ other work,13,14,3,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,1,7,-1,-1,2,2,9,10,0,0,3,3,17,0,0,6,7,60,7.0,5,2,,,,,,,,6,741.1762318382898,695.5124568849158,988.9682240335372,1037.576961675772,1261.8471445228,1297.208038904117,1616.0233777,1818.4045961
900003,800010,243932310103,243932000000,-1,24,3,30,-1,2,2,Underground/ DLR,17,2,6,1,01 Usual/ other work,01 Usual/ other work,06 Home,01 Usual/ other work,17,18,4,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,2,7,0,0,3,3,30,0,0,6,7,70,20.0,20,2,,,,,,,,5,732.5973347428642,686.301558950905,1204.549106165227,1237.958648828826,1411.271067447964,1403.404161227808,1861.2281513,1940.3678809
900003,800011,243932310201,-1,243932000000,24,3,30,1,2,2,Underground/ DLR,17,2,6,3,06 Home,06 Home,01 Usual/ other work,01 Usual/ other work,6,7,1,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,8,30,0,0,1,1,2,0,0,5,1,50,10.0,20,2,,,,,,,,1,732.5973347428642,711.8642377135594,1204.549106165227,1163.155949812928,1411.271067447964,1464.059600704597,1861.2281513,1683.4941166
900003,800010,243932310102,243932000000,243932000000,24,3,30,-1,2,2,Underground/ DLR,17,2,6,3,02 Education (inc escort education),02 Education (inc escort education),01 Usual/ other work,01 Usual/ other work,8,9,2,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,8,30,0,0,2,2,7,0,0,6,3,50,20.0,25,2,,,,,,,,4,732.5973347428642,686.301558950905,1204.549106165227,1237.958648828826,1411.271067447964,1403.404161227808,1861.2281513,1940.3678809
900003,800012,243932310302,243932000000,-1,24,3,30,-1,2,2,Bus/tram,13,2,10,1,02 Education (inc escort education),02 Education (inc escort education),06 Home,02 Education (inc escort education),15,15,3,0,0,1,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,8,30,0,0,3,3,30,0,0,4,8,25,2.0,5,2,,,,,,,,4,732.5973347428642,725.2277881032364,1204.549106165227,1303.1847674642,1411.271067447964,1485.57058682717,1861.2281513,1951.2610395
900003,800011,243932310202,243932000000,-1,24,3,30,-1,2,2,Underground/ DLR,17,2,6,1,01 Usual/ other work,01 Usual/ other work,06 Home,01 Usual/ other work,19,20,5,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,1,1,0,2,0,0,3,3,30,0,0,5,6,60,10.0,15,2,,,,,,,,2,732.5973347428642,711.8642377135594,1204.549106165227,1163.155949812928,1411.271067447964,1464.059600704597,1861.2281513,1683.4941166
900001,800002,240403110202,240403110201,-1,24,5,17,-1,2,2,National Rail/ Overground,19,2,4,1,01 Usual/ other work,01 Usual/ other work,06 Home,01 Usual/ other work,20,21,5,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,1,1,0,6,0,0,3,3,17,0,0,5,6,60,10.0,15,2,,,,,,,,2,741.1762318382898,692.4343147718516,988.9682240335372,1027.233856061794,1261.8471445228,1257.022829504672,1616.0233777,1757.0138336
900004,800014,244072520201,-1,244072520202,24,1,31,1,1,2,Walk,1,0,16,4,06 Home,06 Home,03 Leisure,03 Leisure,14,14,3,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,6,31,0,0,3,3,31,0,0,4,8,10,0.7,0,2,,,,,,,,1,349.4639876363681,428.7823274203158,477.4579508546382,907.4937930125824,564.7154294769159,921.1611292742056,,
900004,800014,244072520202,244072520201,-1,24,1,31,-1,1,2,Walk,1,0,16,1,03 Leisure,03 Leisure,06 Home,03 Leisure,15,15,3,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,6,31,0,0,3,3,31,0,0,4,8,10,0.7,0,2,,,,,,,,7,349.4639876363681,428.7823274203158,477.4579508546382,907.4937930125824,564.7154294769159,921.1611292742056,,
900004,800013,244072520101,-1,244072520102,24,1,31,1,2,1,Cycle,2,1,16,3,06 Home,06 Home,01 Usual/ other work,01 Usual/ other work,9,9,2,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,2,2,3,3,6,31,0,0,2,2,13,0,0,6,3,30,4.0,5,2,,,,,,,,1,349.4639876363681,311.0834645587338,477.4579508546382,590.7296624657617,564.7154294769159,716.8403676327731,,
900004,800013,244072520102,244072520101,-1,24,1,31,-1,2,1,Cycle,2,1,16,1,01 Usual/ other work,01 Usual/ other work,06 Home,01 Usual/ other work,20,21,5,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,2,2,2,2,1,13,0,0,3,3,31,0,0,6,7,35,4.0,5,2,,,,,,,,6,349.4639876363681,311.0834645587338,477.4579508546382,590.7296624657617,564.7154294769159,716.8403676327731,,
