tripid,hhid,persid,tripno,starthour,startime,arrhour,arrtime,origplace1,origplace2,origpurp1,origpurp2,origlga,destplace1,destplace2,destpurp1,destpurp2,destlga,triptime,travtime,cumdist,linkmode,trippurp,duration,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,time1,time2,time3,time4,time5,time6,time7,time8,time9,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,trippoststratweight,trippoststratweight_GROUP_1,trippoststratweight_GROUP_2,trippoststratweight_GROUP_3,trippoststratweight_GROUP_4,trippoststratweight_GROUP_5,trippoststratweight_GROUP_6,trippoststratweight_GROUP_7,trippoststratweight_GROUP_8,trippoststratweight_GROUP_9,trippoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y24H5750403P04T02,Y24H5750403,Y24H5750403P04,2,15,920,16,981,Place of education,Secondary School,Education,At school,Hume (C),Accommodation,Survey Home,At Home,Go home,Whittlesea (C),61,61,7.62806,Public Bus,Education,999,Walking,Public Bus,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,48,3,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.48629,7.01902,0.12275,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,341.795395816,368.050056214,509.081363832,332.428875611,0.0,379.22767211,368.178652853,357.121896285,364.667314201,425.811968992,357.624133608,MELB - Outer,Greater Melbourne,Weekday
Y24H5750403P05T01,Y24H5750403,Y24H5750403P05,1,8,495,8,515,Accommodation,Survey Home,At Home,Go home,Whittlesea (C),Place of education,Primary School,Education,At school,Hume (C),20,13,2.06148,Public Bus,Education,435,Walking,Public Bus,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,3,7,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.14294,1.50497,0.41357,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,348.439694801,400.221187957,475.005199467,353.357150382,0.0,392.16140359,370.59644604,400.428799384,387.02785047,394.451490843,353.740222496,MELB - Outer,Greater Melbourne,Weekday
Y24H5750403P05T02,Y24H5750403,Y24H5750403P05,2,15,950,15,957,Place of education,Primary School,Education,At school,Hume (C),Accommodation,Survey Home,At Home,Go home,Whittlesea (C),7,7,1.51016,Vehicle Passenger,Education,999,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.51016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,348.439694801,400.221187957,475.005199467,353.357150382,0.0,392.16140359,370.59644604,400.428799384,387.02785047,394.451490843,353.740222496,MELB - Outer,Greater Melbourne,Weekday
Y24H5780407P01T01,Y24H5780407,Y24H5780407P01,1,12,750,12,752,Accommodation,Survey Home,At Home,Go home,Merri-bek (C),Entertainment venue,Restaurant or Cafe,Buy Something,Bought something,Merri-bek (C),2,2,0.03888,Walking,Buy Something,3,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.03888,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,404.501176757,463.39085206,377.44750822,490.380635323,403.530864677,469.678138189,505.286367377,0.0,430.665075315,450.118278635,345.259160448,MELB - Inner,Greater Melbourne,Weekend
Y24H5780407P01T02,Y24H5780407,Y24H5780407P01,2,12,755,12,760,Entertainment venue,Restaurant or Cafe,Buy Something,Bought something,Merri-bek (C),Retail venue,Supermarket,Buy Something,Bought something,Merri-bek (C),5,5,0.59936,Walking,Buy Something,10,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.59936,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,404.501176757,463.39085206,377.44750822,490.380635323,403.530864677,469.678138189,505.286367377,0.0,430.665075315,450.118278635,345.259160448,MELB - Inner,Greater Melbourne,Weekend
Y24H5780407P01T03,Y24H5780407,Y24H5780407P01,3,12,770,12,775,Retail venue,Supermarket,Buy Something,Bought something,Merri-bek (C),Accommodation,Survey Home,At Home,Go home,Merri-bek (C),5,5,0.62112,Walking,Buy Something,175,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.62112,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,404.501176757,463.39085206,377.44750822,490.380635323,403.530864677,469.678138189,505.286367377,0.0,430.665075315,450.118278635,345.259160448,MELB - Inner,Greater Melbourne,Weekend
Y24H5780407P01T04,Y24H5780407,Y24H5780407P01,4,15,950,15,957,Accommodation,Survey Home,At Home,Go home,Merri-bek (C),Retail venue,Hardware,Buy Something,Bought something,Merri-bek (C),7,7,1.32888,Bicycle,Buy Something,23,Bicycle,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.32888,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,404.501176757,463.39085206,377.44750822,490.380635323,403.530864677,469.678138189,505.286367377,0.0,430.665075315,450.118278635,345.259160448,MELB - Inner,Greater Melbourne,Weekend
Y24H5780407P01T05,Y24H5780407,Y24H5780407P01,5,16,980,16,987,Retail venue,Hardware,Buy Something,Bought something,Merri-bek (C),Accommodation,Survey Home,At Home,Go home,Merri-bek (C),7,7,1.32888,Bicycle,Buy Something,128,Bicycle,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.32888,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,404.501176757,463.39085206,377.44750822,490.380635323,403.530864677,469.678138189,505.286367377,0.0,430.665075315,450.118278635,345.259160448,MELB - Inner,Greater Melbourne,Weekend
Y24H5780407P01T06,Y24H5780407,Y24H5780407P01,6,18,1115,19,1140,Accommodation,Survey Home,At Home,Go home,Merri-bek (C),Retail venue,Department or Discount Store,Pick-up or Deliver Something,Something picked-up or delivered for home,Darebin (C),25,25,7.74797,Bicycle,Pick-up or Deliver Something,15,Bicycle,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,25,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.74797,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,404.501176757,463.39085206,377.44750822,490.380635323,403.530864677,469.678138189,505.286367377,0.0,430.665075315,450.118278635,345.259160448,MELB - Inner,Greater Melbourne,Weekend
Y24H5780407P01T07,Y24H5780407,Y24H5780407P01,7,19,1155,19,1185,Retail venue,Department or Discount Store,Pick-up or Deliver Something,Something picked-up or delivered for home,Darebin (C),Accommodation,Survey Home,At Home,Go home,Merri-bek (C),30,30,7.74797,Bicycle,Pick-up or Deliver Something,999,Bicycle,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,30,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.74797,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,404.501176757,463.39085206,377.44750822,490.380635323,403.530864677,469.678138189,505.286367377,0.0,430.665075315,450.118278635,345.259160448,MELB - Inner,Greater Melbourne,Weekend
Y24H5780407P02T01,Y24H5780407,Y24H5780407P02,1,9,585,9,591,Other place,Other NEC,Unknown Purpose (at start of day),N/A - Unknown purpose at the start of the day,Merri-bek (C),Entertainment venue,Restaurant or Cafe,Social,Ate or drank,Merri-bek (C),6,6,1.79631,Vehicle Driver,Social,47,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.79631,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,404.501176757,463.39085206,377.44750822,490.380635323,403.530864677,469.678138189,505.286367377,0.0,430.665075315,450.118278635,345.259160448,MELB - Inner,Greater Melbourne,Weekend
Y24H5780407P02T02,Y24H5780407,Y24H5780407P02,2,10,638,10,641,Entertainment venue,Restaurant or Cafe,Social,Ate or drank,Merri-bek (C),Accommodation,Someone Elses Home,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Merri-bek (C),3,3,1.79631,Vehicle Driver,Pick-up or Drop-off Someone,4,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.79631,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,404.501176757,463.39085206,377.44750822,490.380635323,403.530864677,469.678138189,505.286367377,0.0,430.665075315,450.118278635,345.259160448,MELB - Inner,Greater Melbourne,Weekend
Y24H5780407P02T03,Y24H5780407,Y24H5780407P02,3,10,645,10,650,Accommodation,Someone Elses Home,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Merri-bek (C),Accommodation,Survey Home,At Home,Go home,Merri-bek (C),5,5,1.86831,Vehicle Driver,Pick-up or Drop-off Someone,16,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.86831,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,404.501176757,463.39085206,377.44750822,490.380635323,403.530864677,469.678138189,505.286367377,0.0,430.665075315,450.118278635,345.259160448,MELB - Inner,Greater Melbourne,Weekend
Y24H5780407P02T04,Y24H5780407,Y24H5780407P02,4,11,666,11,687,Accommodation,Survey Home,At Home,Go home,Merri-bek (C),Entertainment venue,Gallery or Museum,Recreational,Recreational (NEC),Merri-bek (C),21,21,1.30991,Walking,Recreational,4,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,21,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.30991,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,404.501176757,463.39085206,377.44750822,490.380635323,403.530864677,469.678138189,505.286367377,0.0,430.665075315,450.118278635,345.259160448,MELB - Inner,Greater Melbourne,Weekend
Y24H5780407P02T05,Y24H5780407,Y24H5780407P02,5,11,691,11,697,Entertainment venue,Gallery or Museum,Recreational,Recreational (NEC),Merri-bek (C),Entertainment venue,Restaurant or Cafe,Personal Business,Personal Business (NEC),Merri-bek (C),6,6,0.4964,Walking,Personal Business,3,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.4964,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,404.501176757,463.39085206,377.44750822,490.380635323,403.530864677,469.678138189,505.286367377,0.0,430.665075315,450.118278635,345.259160448,MELB - Inner,Greater Melbourne,Weekend
Y24H5780407P02T06,Y24H5780407,Y24H5780407P02,6,11,700,11,703,Entertainment venue,Restaurant or Cafe,Personal Business,Personal Business (NEC),Merri-bek (C),Entertainment venue,Restaurant or Cafe,Social,Ate or drank,Merri-bek (C),3,3,0.19352,Walking,Social,50,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.19352,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,404.501176757,463.39085206,377.44750822,490.380635323,403.530864677,469.678138189,505.286367377,0.0,430.665075315,450.118278635,345.259160448,MELB - Inner,Greater Melbourne,Weekend
Y24H5780407P02T07,Y24H5780407,Y24H5780407P02,7,12,753,12,759,Entertainment venue,Restaurant or Cafe,Social,Ate or drank,Merri-bek (C),Accommodation,Someone Elses Home,Social,Visited someone,Merri-bek (C),6,6,0.39863,Walking,Social,9,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.39863,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,404.501176757,463.39085206,377.44750822,490.380635323,403.530864677,469.678138189,505.286367377,0.0,430.665075315,450.118278635,345.259160448,MELB - Inner,Greater Melbourne,Weekend
Y24H5780407P02T08,Y24H5780407,Y24H5780407P02,8,12,768,13,795,Accommodation,Someone Elses Home,Social,Visited someone,Merri-bek (C),Accommodation,Survey Home,At Home,Go home,Merri-bek (C),27,27,2.0829,Walking,Social,999,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,27,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2.0829,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,404.501176757,463.39085206,377.44750822,490.380635323,403.530864677,469.678138189,505.286367377,0.0,430.665075315,450.118278635,345.259160448,MELB - Inner,Greater Melbourne,Weekend
Y24H5930312P01T01,Y24H5930312,Y24H5930312P01,1,8,510,8,515,Accommodation,Survey Home,At Home,Go home,Moonee Valley (C),Retail venue,Shopping Centre,Buy Something,Bought something,Moonee Valley (C),5,5,0.37449,Walking,Buy Something,70,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.37449,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,686.563280214,565.989426206,714.153938594,714.525697275,813.725408242,0.0,747.321926738,731.43552324,800.248525383,981.225106558,548.020927068,MELB - Inner,Greater Melbourne,Weekday
Y24H5930312P01T02,Y24H5930312,Y24H5930312P01,2,9,585,9,590,Retail venue,Shopping Centre,Buy Something,Bought something,Moonee Valley (C),Accommodation,Survey Home,At Home,Go home,Moonee Valley (C),5,5,0.37449,Walking,Buy Something,999,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.37449,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,686.563280214,565.989426206,714.153938594,714.525697275,813.725408242,0.0,747.321926738,731.43552324,800.248525383,981.225106558,548.020927068,MELB - Inner,Greater Melbourne,Weekday
Y24H5930312P02T01,Y24H5930312,Y24H5930312P02,1,8,510,8,515,Accommodation,Survey Home,At Home,Go home,Moonee Valley (C),Retail venue,Shopping Centre,Buy Something,Bought something,Moonee Valley (C),5,5,0.37449,Walking,Buy Something,70,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.37449,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,686.563280214,565.989426206,714.153938594,714.525697275,813.725408242,0.0,747.321926738,731.43552324,800.248525383,981.225106558,548.020927068,MELB - Inner,Greater Melbourne,Weekday
Y24H5930312P02T02,Y24H5930312,Y24H5930312P02,2,9,585,9,590,Retail venue,Shopping Centre,Buy Something,Bought something,Moonee Valley (C),Accommodation,Survey Home,At Home,Go home,Moonee Valley (C),5,5,0.37457,Walking,Buy Something,999,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.37457,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,686.563280214,565.989426206,714.153938594,714.525697275,813.725408242,0.0,747.321926738,731.43552324,800.248525383,981.225106558,548.020927068,MELB - Inner,Greater Melbourne,Weekday
Y24H6080314P01T01,Y24H6080314,Y24H6080314P01,1,10,630,10,635,Accommodation,Survey Home,At Home,Go home,Hobsons Bay (C),Accommodation,2nd Home,Personal Business,Personal business (eg banking),Hobsons Bay (C),5,5,3.53794,Vehicle Passenger,Personal Business,40,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3.53794,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,474.716211411,465.30088028,533.52787601,486.911970989,503.76534928,449.817766992,609.125331888,579.214385395,480.007000537,622.740323713,0.0,MELB - Inner,Greater Melbourne,Weekend
Y24H6080314P01T02,Y24H6080314,Y24H6080314P01,2,11,675,11,680,Accommodation,2nd Home,Personal Business,Personal business (eg banking),Hobsons Bay (C),Accommodation,Survey Home,At Home,Go home,Hobsons Bay (C),5,5,3.53794,Vehicle Passenger,Personal Business,40,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3.53794,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,474.716211411,465.30088028,533.52787601,486.911970989,503.76534928,449.817766992,609.125331888,579.214385395,480.007000537,622.740323713,0.0,MELB - Inner,Greater Melbourne,Weekend
Y24H6080314P01T03,Y24H6080314,Y24H6080314P01,3,12,720,12,750,Accommodation,Survey Home,At Home,Go home,Hobsons Bay (C),Entertainment venue,Restaurant or Cafe,Social,Ate or drank,Yarra (C),30,30,13.38436,Vehicle Driver,Social,135,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,30,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.38436,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,474.716211411,465.30088028,533.52787601,486.911970989,503.76534928,449.817766992,609.125331888,579.214385395,480.007000537,622.740323713,0.0,MELB - Inner,Greater Melbourne,Weekend
