year,region_code,region_name,lat,lon
2023,0755,Boekel,51.606434942809464,5.694020874711801
2023,0757,Boxtel,51.58203797443791,5.324335784943739
2023,0758,Breda,51.58571877504212,4.761334772867522
2023,0762,Deurne,51.43659965006951,5.826865689071565
2023,0765,Pekela,53.07091215594045,6.9740139011062965
2023,0766,Dongen,51.635265968244205,4.955344596508858
2023,0770,Eersel,51.39577351800038,5.314505296817278
2023,0772,Eindhoven,51.450035392639975,5.458398765581805
2023,0777,Etten-Leur,51.577072934419675,4.645232658424894
2023,0779,Geertruidenberg,51.69667297701358,4.8820412467149925
2023,0784,Gilze en Rijen,51.56085025195118,4.920070646516858
2023,0785,Goirle,51.51217805828217,5.033301966703091
2023,0794,Helmond,51.476633789192924,5.658664075777445
2023,0796,'s-Hertogenbosch,51.71688978598427,5.353033992832667
2023,0797,Heusden,51.69652521731361,5.160573512429542
2023,0798,Hilvarenbeek,51.47873673159131,5.144539072670583
2023,0809,Loon op Zand,51.641549327032266,5.047992793949948
2023,0820,"Nuenen, Gerwen en Nederwetten",51.48000891296681,5.550461586828543
2023,0823,Oirschot,51.49316041054293,5.289445995348347
2023,0824,Oisterwijk,51.562240585655836,5.204357830246332
2023,0826,Oosterhout,51.63773367318725,4.864044553175959
2023,0828,Oss,51.7816051857197,5.527322589861006
2023,0840,Rucphen,51.52321707790316,4.5582577556930195
2023,0845,Sint-Michielsgestel,51.65785042894482,5.37954089376488
2023,0847,Someren,51.37910908926212,5.6916236799355655
2023,0848,Son en Breugel,51.51665650276066,5.481352977776023
2023,0851,Steenbergen,51.597591912027966,4.324956207628351
2023,0852,Waterland,52.451930755818395,5.0159763036671565
2023,0855,Tilburg,51.58331958223031,5.07701376198382
2023,0858,Valkenswaard,51.323703633686165,5.448214893243333
2023,0861,Veldhoven,51.41186116073547,5.383858138985338
2023,0865,Vught,51.65093331101268,5.242738395269223
2023,0866,Waalre,51.38725005641588,5.464892582971673
2023,0867,Waalwijk,51.69237014257438,5.011052486331921
2023,0873,Woensdrecht,51.40711768684622,4.3422545196991225
2023,0879,Zundert,51.47982286994586,4.642449514358036
2023,0880,Wormerland,52.50246684523356,4.855831783856027
2023,0882,Landgraaf,50.90658210388056,6.0317904785101115
2023,0888,Beek,50.93310739648722,5.811406805167838
2023,0889,Beesel,51.26961035735369,6.069290048216181
2023,0893,Bergen (L.),51.59279309318548,6.0884106924939365
2023,0899,Brunssum,50.94389799612307,5.979869956886352
2023,0907,Gennep,51.7003342576074,5.9856508291307495
2023,0917,Heerlen,50.89409287270521,5.968232204313107
2023,0928,Kerkrade,50.871421825363896,6.05121351254521
2023,0935,Maastricht,50.85332401723296,5.699231473272663
2023,0938,Meerssen,50.90262303404623,5.756598724705688
2023,0944,Mook en Middelaar,51.74817845649079,5.898690794191419
2023,0946,Nederweert,51.29446974097864,5.772994242817562
2023,0957,Roermond,51.20220012779158,6.0134361029580266
2023,0965,Simpelveld,50.82826772702665,5.987440555919195
2023,0971,Stein,50.96739597163799,5.76382419137216
2023,0981,Vaals,50.774022510284134,5.977817640592299
2023,0983,Venlo,51.39133701302219,6.157693619676251
2023,0984,Venray,51.515537163599966,5.9635720484014305
2023,0986,Voerendaal,50.86895191645179,5.9161396063204705
2023,0988,Weert,51.23343529010224,5.690948822660887
2023,0994,Valkenburg aan de Geul,50.86018949761654,5.823553588415734
2023,0995,Lelystad,52.47807257135717,5.471739008491706
2023,1507,Horst aan de Maas,51.44471552143447,6.0391369410568245
2023,1509,Oude IJsselstreek,51.906897130208385,6.408664187992065
2023,1525,Teylingen,52.213817190297426,4.512014521116876
2023,1581,Utrechtse Heuvelrug,52.03416644850914,5.388307829396021
2023,1586,Oost Gelre,52.0098937897371,6.577872712561752
2023,1598,Koggenland,52.64377435964286,4.948185120178245
2023,1621,Lansingerland,52.004910322250645,4.506290349892554
2023,1640,Leudal,51.24038981951713,5.884955899177179
2023,1641,Maasgouw,51.161781439895144,5.884159969565289
2023,1652,Gemert-Bakel,51.54077892290216,5.754437273909542
2023,1655,Halderberge,51.59068629815916,4.522725979199651
2023,1658,Heeze-Leende,51.360419641005926,5.567097545477646
2023,1659,Laarbeek,51.53194494198136,5.609621962789993
2023,1667,Reusel-De Mierden,51.37848285364964,5.147747360155682
2023,1669,Roerdalen,51.145332242588175,6.041032190366073
2023,1674,Roosendaal,51.51282862949863,4.424886098764155
2023,1676,Schouwen-Duiveland,51.68602924150319,3.902223430403107
2023,1680,Aa en Hunze,52.991714776348076,6.727578080262065
2023,1681,Borger-Odoorn,52.905754081212315,6.87232842645089
2023,1690,De Wolden,52.70109883352493,6.373496804708397
2023,1695,Noord-Beveland,51.57442886043199,3.7724439215306753
2023,1696,Wijdemeren,52.226006747657664,5.085533810957795
2023,1699,Noordenveld,53.09619455017303,6.4397997422851185
2023,1700,Twenterand,52.44844624981533,6.597472920985042
2023,1701,Westerveld,52.83794813543405,6.296294493891532
2023,1705,Lingewaard,51.901569447202434,5.94314598495737
2023,1706,Cranendonck,51.28681422449929,5.597258172921034
2023,1708,Steenwijkerland,52.755332294383095,6.0302001338183855
2023,1709,Moerdijk,51.65897297216664,4.542093932192476
2023,1711,Echt-Susteren,51.08542260507956,5.908996802223053
2023,1714,Sluis,51.328738718283105,3.515533567307519
2023,1719,Drimmelen,51.69962951948581,4.758615781647406
2023,1721,Bernheze,51.68410279707485,5.520337642420758
2023,1723,Alphen-Chaam,51.50250970424629,4.885570222105088
2023,1724,Bergeijk,51.30941020654636,5.337532788836546
2023,1728,Bladel,51.3726156156345,5.238307462954886
2023,1729,Gulpen-Wittem,50.80284458483652,5.902186721190003
2023,1730,Tynaarlo,53.09650258906069,6.6057825922988815
2023,1731,Midden-Drenthe,52.86672762924988,6.542743745319943
2023,1734,Overbetuwe,51.92399199496249,5.778807316867971
2023,1735,Hof van Twente,52.2358058721182,6.589562325846787
2023,1740,Neder-Betuwe,51.91564467021289,5.58554468427624
2023,1742,Rijssen-Holten,52.29178808702147,6.435141499854269
2023,1771,Geldrop-Mierlo,51.430860802781105,5.586512686440535
2023,1773,Olst-Wijhe,52.36693396215489,6.1521688224877025
2023,1774,Dinkelland,52.372567212879694,6.9132412704520485
2023,1783,Westland,51.99710652073924,4.215129804304213
2023,1842,Midden-Delfland,51.964757926588625,4.307243553593596
2023,1859,Berkelland,52.1004853357749,6.570795585506353
2023,1876,Bronckhorst,52.04464739674269,6.304840204202673
2023,1883,Sittard-Geleen,51.00522778994698,5.827744326913558
2023,1884,Kaag en Braassem,52.19299812227267,4.627836791447491
2023,1891,Dantumadiel,53.27923602158601,5.983178046814498
2023,1892,Zuidplas,51.99842160350074,4.606868438283049
2023,1894,Peel en Maas,51.33641780849627,5.994262688904813
2023,1895,Oldambt,53.194491024780575,7.055513456435842
2023,1896,Zwartewaterland,52.60285989601558,6.063379956816585
2023,1900,Súdwest-Fryslân,53.024851592499274,5.548842899160772
2023,1901,Bodegraven-Reeuwijk,52.06562366498523,4.765379620113462
2023,1903,Eijsden-Margraten,50.80157661888192,5.7734632054345765
2023,1904,Stichtse Vecht,52.17707952702322,5.013695700702852
2023,1911,Hollands Kroon,52.830055600845796,4.948880364292436
2023,1916,Leidschendam-Voorburg,52.0909383831385,4.42220582941158
2023,1924,Goeree-Overflakkee,51.747366052550156,4.126392736169563
2023,1926,Pijnacker-Nootdorp,52.01704256007501,4.42146475655061
2023,1930,Nissewaard,51.83274079996088,4.285481485193429
2023,1931,Krimpenerwaard,51.95308560765977,4.737784636790951
2023,1940,De Fryske Marren,52.91657245036009,5.723764997592149
2023,1942,Gooise Meren,52.30190371655312,5.1327952152749665
2023,1945,Berg en Dal,51.8189699596743,5.950198583326881
2023,1948,Meierijstad,51.592258967105636,5.506415694838563
2023,1949,Waadhoeke,53.2246335034139,5.611600501234043
2023,1950,Westerwolde,53.01379502320601,7.12015409763033
2023,1952,Midden-Groningen,53.194974875474166,6.808221269689434
2023,1954,Beekdaelen,50.93522145361937,5.894457359433291
2023,1955,Montferland,51.91754753687914,6.213131427372376
2023,1959,Altena,51.76547600410251,4.945245272166424
2023,1960,West Betuwe,51.86139731954499,5.2105568243045886
2023,1961,Vijfheerenlanden,51.93640994888511,5.057142165941918
2023,1963,Hoeksche Waard,51.770518406523195,4.456558040834663
2023,1966,Het Hogeland,53.37813707746363,6.532180485264257
2023,1969,Westerkwartier,53.21844626225195,6.336972646911726
2023,1970,Noardeast-Fryslân,53.33227954235573,6.019622315945944
2023,1978,Molenlanden,51.884106801442364,4.846401810847107
2023,1979,Eemsdelta,53.328560832476164,6.839101620885327
2023,1980,Dijk en Waard,52.68160102899923,4.820418442624679
2023,1982,Land van Cuijk,51.65541087201042,5.859438843527193
2023,1991,Maashorst,51.68666085704859,5.655000919831875
2023,1992,Voorne aan Zee,51.87626756945479,4.132302277886863
2024,0014,Groningen,53.217912278540574,6.620960223877306
2024,0034,Almere,52.36706007448888,5.24665342734578
2024,0037,Stadskanaal,53.00252938627694,7.009394523006156
2024,0047,Veendam,53.08909364725374,6.880541519708922
2024,0050,Zeewolde,52.34603620702348,5.4511249835763875
2024,0059,Achtkarspelen,53.21707104313513,6.142501742461454
2024,0060,Ameland,53.44998034890074,5.74152914165415
2024,0072,Harlingen,53.17588178754518,5.450635197817697
2024,0074,Heerenveen,52.99648224415257,5.978254309346665
2024,0080,Leeuwarden,53.170650571738115,5.796837773170168
2024,0085,Ooststellingwerf,52.98235862584508,6.283339698956722
2024,0086,Opsterland,53.04929523299442,6.112815591774103
2024,0088,Schiermonnikoog,53.49179003083068,6.22854509239174
2024,0090,Smallingerland,53.11373762721806,6.040644325929796
2024,0093,Terschelling,53.39887965582454,5.327986854880014
2024,0096,Vlieland,53.256692488647744,4.96924988077033
2024,0098,Weststellingwerf,52.875609383872145,6.0175212360908406
2024,0106,Assen,53.00188662280982,6.55166946897701
2024,0109,Coevorden,52.740638354165355,6.735910991412243
2024,0114,Emmen,52.749753673727824,6.961892935310171
2024,0118,Hoogeveen,52.72326225475118,6.513999025001852
2024,0119,Meppel,52.71496017006764,6.195102474109376
2024,0141,Almelo,52.347073761661306,6.66027148874972
2024,0147,Borne,52.31166949797971,6.744822512657615
2024,0148,Dalfsen,52.51472863478382,6.276537471746335
2024,0150,Deventer,52.26820205430631,6.235964008223019
2024,0153,Enschede,52.22095818546854,6.877638294224465
2024,0158,Haaksbergen,52.15532760493623,6.756018053447607
2024,0160,Hardenberg,52.58531481323955,6.573571528946168
2024,0163,Hellendoorn,52.38702054019786,6.4507042805965105
2024,0164,Hengelo (O.),52.25477818127692,6.777804284543562
2024,0166,Kampen,52.555588211660236,5.932156139530785
2024,0168,Losser,52.30306661463818,7.002590532822854
2024,0171,Noordoostpolder,52.71309836536411,5.767622995576814
