region_code,region_name,lat,lon
0738,Aalburg,51.74653250932461,5.066320715218502
0743,Asten,51.386398835721565,5.779577439377686
0744,Baarle-Nassau,51.43946285347917,4.893080509615806
0748,Bergen op Zoom,51.50342772283501,4.288794023760277
0753,Best,51.5138303608514,5.397743312066587
0755,Boekel,51.606434942809464,5.694020874711801
0756,Boxmeer,51.62068204141503,5.9503217804646145
0757,Boxtel,51.58168899134363,5.325218952845996
0758,Breda,51.5854056236177,4.761943912553759
0762,Deurne,51.43667831619354,5.826728305228548
0765,Pekela,53.07091215594045,6.9740139011062965
0766,Dongen,51.63547502401468,4.955270724064702
0770,Eersel,51.396257611832,5.31438813028929
0772,Eindhoven,51.44994008806713,5.458250374295603
0777,Etten-Leur,51.57801076862173,4.6452230373978125
0779,Geertruidenberg,51.69667148614195,4.882081226078922
0784,Gilze en Rijen,51.559988910313365,4.917636339192505
0785,Goirle,51.51281794320317,5.031440717909885
0786,Grave,51.74408692809255,5.743264135676115
0788,Haaren,51.62599595187844,5.217461403211354
0794,Helmond,51.47675415894563,5.658772423960809
0796,'s-Hertogenbosch,51.716077451425726,5.351259716879592
0797,Heusden,51.69589970786735,5.159160888718844
0798,Hilvarenbeek,51.47954912032537,5.145284239254236
0809,Loon op Zand,51.64064414048738,5.0481357525567985
0815,Mill en Sint Hubert,51.6859389155193,5.76900368779615
0820,"Nuenen, Gerwen en Nederwetten",51.4795703394498,5.5504653023310775
0823,Oirschot,51.49427819815041,5.290044217154011
0824,Oisterwijk,51.562831243979296,5.203872887781828
0826,Oosterhout,51.63773367318725,4.864044553175959
0828,Oss,51.78188780449172,5.526765584276289
0840,Rucphen,51.52326561241993,4.558326078098174
0845,Sint-Michielsgestel,51.657309936439304,5.3799869881312254
0847,Someren,51.37912496345703,5.691572756820385
0848,Son en Breugel,51.51654514401493,5.480980184432702
0851,Steenbergen,51.597713524720746,4.325072587936427
0852,Waterland,52.45275385310187,5.015778863889805
0855,Tilburg,51.58290205032676,5.076928845161075
0856,Uden,51.65552773031085,5.65263661176898
0858,Valkenswaard,51.32361807991058,5.4481682084526275
0861,Veldhoven,51.41211302782938,5.383360645654756
0865,Vught,51.64998270482321,5.243093366589727
0866,Waalre,51.38727916288145,5.464690589046394
0867,Waalwijk,51.692444515775435,5.010425704015047
0870,Werkendam,51.766723401499014,4.872443230163896
0873,Woensdrecht,51.40746082396134,4.342244102329645
0874,Woudrichem,51.782644750298296,4.995181370181365
0879,Zundert,51.48008430484148,4.642612978790455
0880,Wormerland,52.50230727730518,4.855617535138525
0881,Onderbanken,50.96955338785206,5.963449872817953
0882,Landgraaf,50.9065019500064,6.031719012456999
0888,Beek (L.),50.93310739648722,5.811406805167838
0889,Beesel,51.26961035735369,6.069290048216181
0893,Bergen (L.),51.59235236428203,6.088085990533771
0899,Brunssum,50.94306660093895,5.978142700423563
0907,Gennep,51.7003342576074,5.9856508291307495
0917,Heerlen,50.89288972756829,5.969579312536477
0928,Kerkrade,50.87161371402806,6.052066918135826
0935,Maastricht,50.85345326104083,5.69882300332659
0938,Meerssen,50.90200433955188,5.756615965089409
0944,Mook en Middelaar,51.74817845649079,5.898690794191419
0946,Nederweert,51.29446974097864,5.772994242817562
0951,Nuth,50.90614378567741,5.859237265533489
0957,Roermond,51.20238617505364,6.012927749507951
0962,Schinnen,50.951036814706704,5.888975394710128
0965,Simpelveld,50.82918294266352,5.985677735612632
0971,Stein (L.),50.96730291775463,5.764313819746477
0981,Vaals,50.774022510284134,5.977817640592299
0983,Venlo,51.39093030449564,6.157614855272488
0984,Venray,51.51544942548672,5.962622561372941
0986,Voerendaal,50.86919216051505,5.9160826961465
0988,Weert,51.23343529010224,5.690948822660887
0994,Valkenburg aan de Geul,50.860443548346005,5.823653549878487
0995,Lelystad,52.47809842467414,5.471671357866819
1507,Horst aan de Maas,51.445000838507234,6.039743670809084
1509,Oude IJsselstreek,51.90715660749931,6.4086761306305755
1525,Teylingen,52.21445146785278,4.512204629731541
1581,Utrechtse Heuvelrug,52.03457114405451,5.387747398749058
1586,Oost Gelre,52.0098937897371,6.577872712561752
1598,Koggenland,52.64389755567757,4.947479186691709
1621,Lansingerland,52.00460153765153,4.506501127917476
1640,Leudal,51.240141469447295,5.88500300075729
1641,Maasgouw,51.16130770676628,5.88339723743547
1651,Eemsmond,53.416621193993585,6.682891835297859
1652,Gemert-Bakel,51.540830256283606,5.754067198095832
1655,Halderberge,51.590640169791406,4.522934454157325
1658,Heeze-Leende,51.360419641005926,5.567097545477646
1659,Laarbeek,51.53194494198136,5.609621962789993
1663,De Marne,53.37505910003668,6.363247659665427
1667,Reusel-De Mierden,51.37858173339234,5.147909894231051
1669,Roerdalen,51.14577755199496,6.041348259078565
1674,Roosendaal,51.51282862949863,4.424886098764155
1676,Schouwen-Duiveland,51.686118029688686,3.9016310966630168
1680,Aa en Hunze,52.99181332071672,6.7277801649977
1681,Borger-Odoorn,52.90570111143726,6.8718112492693795
1684,Cuijk,51.717890053725064,5.853171551053928
1685,Landerd,51.71736622430044,5.657147706058502
1690,De Wolden,52.70184538786871,6.3729684175261845
1695,Noord-Beveland,51.57456138033927,3.7722679556581644
1696,Wijdemeren,52.22570014345832,5.084532006351104
