StageID	TripID	DayID	IndividualID	HouseholdID	PSUID	VehicleID	IndTicketID	PersNo	TravDay	JourSeq	StageSeq	StageDistance	StageDistance_B01ID	StageTime	StageTime_B01ID	StageMode_B03ID	StageMode_B04ID	StageMode_B11ID	StageShortWalk_B01ID	NumBoardings	NumBoardings_B01ID	NumParty	NumParty_B01ID	NumPartyChild	NumPartyChild_B01ID	NumPartyAdult	NumPartyAdult_B01ID	StageVehicle	StageVehicle_B01ID	StageOccupant_B01ID	TicketNumber	TicketType_B01ID	StageFareCost	StageFareCost_B01ID	ShortWalkDay_B01ID	StagePassCost	StagePassCost_B01ID	StageCost	StageCost_B01ID	StageMain_B01ID	SSXSC	STTXSC	SD	WhereParked_B01ID	SurveyYear
500023	600023	700010	800002	2005004016	2005000292	2005004704		1	4	1	1	4.0	4	13	3	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	-10		-9		-9	1	1	13	4.0	5	2005
500014	600014	700007	800002	2005004016	2005000292	2005004704		1	1	2	1	5.0	5	20	4	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	-10		-9		-9	1	1	20	5.0	5	2005
500053	600053	700022	800004	2010002833	2010000217	2010003460		2	6	3	1	2.5	3	6	2	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	-10		-9		-9	1	1	6	2.5	-10	2010
500151	600145	700047	800009	2024002100	2024000309	2024002738		2	7	1	1	11.0	6	15	4	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	15	11.0	-10	2024
500063	600063	700026	800005	2011000714	2011000058			1	6	2	1	1.0	2	35	5	2	1	2	2		-9	1	1		-9		-9		-9	-9	-9	-9		-9	-10		-9		-9	1	1	35	1.0	-10	2011
500144	600138	700044	800009	2024002100	2024000309	2024002738		2	1	2	1	1.0	2	6	2	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	2		-9		-9	1	1	6	1.0	-10	2024
500012	600012	700006	800001	2003001535	2003000111		2003000912	1	6	2	1	1.0	2	20	4	18	7	12	2	1	1	1	1		-9		-9		-9	-9	1	10	0.0	1	-10	0.18	4	0.18	4	1	1	20	1.0	-9	2003
500038	600038	700016	800003	2010002833	2010000217	2010003460		1	4	1	1	4.0	4	12	3	7	4	6	2		-9	2	2		-9		-9	1	1	4	-9	-9		-9	-10		-9		-9	1	1	12	4.0	-10	2010
500064	600064	700027	800005	2011000714	2011000058			1	7	1	1	2.0	3	45	6	2	1	2	2		-9	1	1		-9		-9		-9	-9	-9	-9		-9	-10		-9		-9	1	1	45	2.0	-10	2011
500081	600080	700029	800006	2016004999	2016000514	2016006272		1	2	1	1	9.5	5	20	4	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	20	9.5	-10	2016
500106	600104	700034	800006	2016004999	2016000514	2016006272		1	7	1	1	13.3	6	30	5	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	30	13.3	-10	2016
500091	600089	700031	800006	2016004999	2016000514		2016003615	1	4	1	2	6.1	5	19	4	19	8	13	2	1	1	1	1		-9		-9		-9	-9	2	15	0.0	1	1	0.0	1	0.0	1	1	1	19	6.1	-10	2016
500092	600090	700031	800006	2016004999	2016000514		2016003615	1	4	2	1	8.0	5	23	4	19	8	13	2	1	1	1	1		-9		-9		-9	-9	2	15	0.0	1	1	0.0	1	0.0	1	1	1	23	8.0	-10	2016
500073	600072	700028	800006	2016004999	2016000514			1	1	7	1	0.21	1	4	2	1	1	1	1		-9	1	1		-9		-9		-9	-9	-9	-9		-9	2		-9		-9	1	7	28	1.47	-10	2016
500108	600106	700034	800006	2016004999	2016000514	2016006272		1	7	3	1	10.3	6	34	5	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	34	10.3	-10	2016
500120	600118	700038	800007	2016004999	2016000514	2016006272		2	5	1	1	1.0	2	5	2	7	4	6	2		-9	2	2		-9		-9	1	1	4	-9	-9		-9	1		-9		-9	1	1	5	1.0	-10	2016
500011	600011	700006	800001	2003001535	2003000111		2003000912	1	6	1	1	1.0	2	15	4	18	7	12	2	1	1	1	1		-9		-9		-9	-9	1	10	0.0	1	-10	0.18	4	0.18	4	1	1	15	1.0	-9	2003
500001	600001	700001	800001	2003001535	2003000111		2003000912	1	1	1	1	9.0	5	25	4	22	10	16	2	1	1	1	1		-9		-9		-9	-9	1	10	0.0	1	-10	1.64	10	1.64	10	1	1	25	9.0	-9	2003
500031	600031	700013	800002	2005004016	2005000292			1	7	3	1	1.0	2	22	4	2	1	2	2		-9	2	2		-9		-9		-9	-9	-9	-9		-9	-10		-9		-9	1	1	22	1.0	-9	2005
500083	600082	700029	800006	2016004999	2016000514	2016006272		1	2	3	1	1.4	2	4	2	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	4	1.4	-10	2016
500080	600079	700028	800006	2016004999	2016000514	2016006272		1	1	14	1	0.7	1	3	2	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	2		-9		-9	1	1	3	0.7	-10	2016
500069	600069	700028	800006	2016004999	2016000514	2016006272		1	1	4	1	1.1	2	5	2	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	2		-9		-9	1	1	5	1.1	-10	2016
500143	600137	700044	800009	2024002100	2024000309	2024002738		2	1	1	1	1.0	2	6	2	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	2		-9		-9	1	1	6	1.0	-10	2024
500055	600055	700023	800004	2010002833	2010000217	2010003460		2	7	2	1	4.0	4	18	4	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	-10		-9		-9	1	1	18	4.0	-10	2010
500075	600074	700028	800006	2016004999	2016000514	2016006272		1	1	9	1	0.7	1	3	2	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	2		-9		-9	1	1	3	0.7	-10	2016
500009	600009	700005	800001	2003001535	2003000111		2003000912	1	5	1	1	9.0	5	30	5	22	10	16	2	1	1	1	1		-9		-9		-9	-9	1	10	0.0	1	-10	1.64	10	1.64	10	1	1	30	9.0	-9	2003
500058	600058	700024	800005	2011000714	2011000058			1	3	1	1	1.0	2	30	5	2	1	2	2		-9	1	1		-9		-9		-9	-9	-9	-9		-9	-10		-9		-9	1	1	30	1.0	-10	2011
