TripID	DayID	IndividualID	HouseholdID	PSUID	PersNo	TravDay	JourSeq	HowComp_B01ID	SeriesCall_B01ID	ShortWalkTrip_B01ID	NumStages	NumStages_B01ID	MainMode_B03ID	MainMode_B04ID	MainMode_B11ID	TripPurpFrom_B01ID	TripPurpTo_B01ID	TripPurpose_B01ID	TripPurpose_B02ID	TripPurpose_B04ID	TripStartHours	TripStartMinutes	TripStart	TripStart_B01ID	TripStart_B02ID	TripEndHours	TripEndMinutes	TripEnd	TripEnd_B01ID	TripEnd_B02ID	TripDisIncSW	TripDisIncSW_B01ID	TripDisExSW	TripDisExSW_B01ID	TripTotalTime	TripTotalTime_B01ID	TripTravTime	TripTravTime_B01ID	TripOrigGOR_B02ID	TripDestGOR_B02ID	JJXSC	JOTXSC	JTTXSC	JD	W5	W5xHH	SurveyYear
600034	700014	800003	900003	2010000217	1	2	2	2	2	2	1	1	7	4	6	14	23	15	12	7	17	0	1020	18	35	17	20	1040	18	36	4.0	4	4.0	4	20	4	12	3	8	8	1	20	12	4.0	0.77522155810472	1.0	2010
600022	700009	800002	900002	2005000292	1	3	5	2	2	2	1	1	5	3	5	23	10	10	8	7	19	45	1185	20	43	20	7	1207	21	44	8.0	5	8.0	5	22	4	22	4	11	11	1	22	22	8.0	0.92814725637436	1.03522760747539	2005
600102	700033	800006	900005	2016000514	1	6	4	2	2	2	1	1	5	3	5	17	10	10	8	7	20	45	1245	21	45	20	50	1250	21	45	1.4	2	1.4	2	5	2	5	2	2	2	1	5	5	1.4	0.83291037526829	1.01400162790815	2016
600104	700034	800006	900005	2016000514	1	7	1	2	2	2	1	1	5	3	5	23	5	6	5	4	13	0	780	14	26	13	30	810	14	27	13.3	6	13.3	6	30	5	30	5	2	2	1	30	30	13.3	1.04965208365666	1.27786728700814	2016
600089	700031	800006	900005	2016000514	1	4	1	2	2	2	2	2	19	8	13	23	8	9	7	6	15	6	906	16	30	16	32	992	17	33	8.03	5	8.03	5	86	7	64	7	2	2	1	86	64	8.03	0.88144964364041	1.07309429694946	2016
600078	700028	800006	900005	2016000514	1	1	13	2	2	2	1	1	5	3	5	5	10	10	8	7	18	40	1120	19	41	18	43	1123	19	41	0.3	1	0.3	1	3	2	3	2	2	2	1	3	3	0.3	0.82140930778046	1.0	2016
600092	700032	800006	900005	2016000514	1	5	2	2	2	2	1	1	5	3	5	4	10	10	8	7	10	44	644	11	21	10	54	654	11	21	0.7	1	0.7	1	10	3	6	2	2	2	1	10	6	0.7	0.84282367630119	1.02607027740968	2016
600137	700044	800009	900006	2024000309	2	1	1	2	2	2	1	1	5	3	5	23	6	7	7	6	11	15	675	12	22	11	22	682	12	22	1.0	2	1.0	2	7	2	6	2	5	5	1	7	6	1.0	0.650519335909	1.0	2024
600070	700028	800006	900005	2016000514	1	1	5	2	2	1	1	1	1	1	1	4	4	5	5	4	15	45	945	16	31	15	48	948	16	31	0.17	1	0.0	1	3	2	3	2	2	2	7	21	21	1.19	0.83489772765656	1.01642107029267	2016
600090	700031	800006	900005	2016000514	1	4	2	2	2	2	1	1	19	8	13	8	23	9	7	6	17	9	1029	18	35	17	57	1077	18	38	8.0	5	8.0	5	48	6	23	4	2	2	1	48	23	8.0	0.88144964364041	1.07309429694946	2016
600047	700020	800004	900003	2010000217	2	3	1	2	2	2	1	1	5	3	5	14	23	15	12	7	17	0	1020	18	35	17	20	1040	18	36	4.0	4	4.0	4	20	4	12	3	8	8	1	20	12	4.0	0.77522155810472	1.0	2010
600079	700028	800006	900005	2016000514	1	1	14	2	2	2	1	1	5	3	5	10	23	10	8	7	19	30	1170	20	43	19	33	1173	20	43	0.7	1	0.7	1	3	2	3	2	2	2	1	3	3	0.7	0.82140930778046	1.0	2016
600023	700010	800002	900002	2005000292	1	4	1	2	2	2	1	1	5	3	5	10	4	5	5	4	9	15	555	10	18	9	28	568	10	18	4.0	4	4.0	4	13	3	13	3	11	11	1	13	13	4.0	1.01449513435364	1.13153744033559	2005
600008	700004	800001	900001	2003000111	1	4	2	2	2	2	1	1	22	10	16	1	23	1	1	1	16	30	990	17	33	17	10	1030	18	35	9.0	5	9.0	5	40	5	35	5	7	7	1	40	35	9.0	1.49969947338104	1.05674360383393	2003
600108	700035	800007	900005	2016000514	2	1	1	2	2	2	1	1	5	3	5	23	8	9	7	6	11	0	660	12	22	11	3	663	12	22	0.7	1	0.7	1	3	2	3	2	2	2	1	3	3	0.7	0.82140930778046	1.0	2016
600072	700028	800006	900005	2016000514	1	1	7	2	2	1	1	1	1	1	1	8	5	6	5	4	16	3	963	17	32	16	7	967	17	32	0.21	1	0.0	1	4	2	4	2	2	2	7	28	28	1.47	0.83489772765656	1.01642107029267	2016
600004	700002	800001	900001	2003000111	1	2	2	2	2	2	1	1	22	10	16	1	23	1	1	1	16	35	995	17	33	17	10	1030	18	35	9.0	5	9.0	5	35	5	33	5	7	7	1	35	33	9.0	1.42997777462006	1.00761512141338	2003
600098	700032	800006	900005	2016000514	1	5	8	2	2	2	1	1	5	3	5	13	23	14	11	7	17	52	1072	18	38	18	6	1086	19	39	6.2	5	6.2	5	14	3	14	3	2	2	1	14	14	6.2	0.84282367630119	1.02607027740968	2016
600018	700009	800002	900002	2005000292	1	3	1	2	2	2	1	1	8	4	6	23	15	16	13	7	9	35	575	10	19	10	10	610	11	20	2.5	3	2.5	3	35	5	15	4	11	11	1	35	15	2.5	0.89656347036362	1.0	2005
600145	700047	800009	900006	2024000309	2	7	1	2	2	2	1	1	5	3	5	23	5	6	5	4	11	8	668	12	22	11	23	683	12	22	11.0	6	11.0	6	15	4	15	4	5	5	1	15	15	11.0	0.83461512851471	1.28299818690011	2024
600094	700032	800006	900005	2016000514	1	5	4	2	2	2	1	1	5	3	5	23	22	23	6	5	14	50	890	15	29	15	2	902	16	30	4.1	4	4.1	4	12	3	12	3	2	2	1	12	12	4.1	0.89700263890067	1.09202882217693	2016
600058	700024	800005	900004	2011000058	1	3	1	2	2	2	1	1	2	1	2	23	10	10	8	7	9	30	570	10	19	10	0	600	11	20	1.0	2	1.0	2	30	5	30	5	8	8	1	30	30	1.0	3.79760730382218	1.0	2011
600134	700042	800008	900006	2024000309	1	3	2	2	2	2	1	1	7	4	6	4	23	5	5	4	12	39	759	13	25	12	45	765	13	25	0.75	1	0.75	1	6	2	6	2	5	5	1	6	6	0.75	0.71254458863114	1.09534728531238	2024
600069	700028	800006	900005	2016000514	1	1	4	2	2	2	2	2	5	3	5	5	4	5	5	4	15	35	935	16	31	15	43	943	16	31	1.27	2	1.1	2	8	3	8	3	2	2	1	8	8	2.29	0.82140930778046	1.0	2016
600031	700013	800002	900002	2005000292	1	7	3	2	2	2	1	1	2	1	2	23	15	17	14	8	20	0	1200	21	44	20	22	1222	21	44	1.0	2	1.0	2	22	4	22	4	11	11	1	22	22	1.0	0.89656347036362	1.0	2005
600014	700007	800002	900002	2005000292	1	1	2	2	2	2	1	1	5	3	5	1	6	7	7	6	13	40	820	14	27	14	0	840	15	28	5.0	5	5.0	5	20	4	20	4	11	11	1	20	20	5.0	0.89656347036362	1.0	2005
600045	700019	800004	900003	2010000217	2	2	2	2	2	2	1	1	5	3	5	14	23	15	12	7	17	0	1020	18	35	17	20	1040	18	36	4.0	4	4.0	4	20	4	12	3	8	8	1	20	12	4.0	0.77522155810472	1.0	2010
600101	700033	800006	900005	2016000514	1	6	3	2	2	2	1	1	5	3	5	13	17	14	11	7	20	35	1235	21	45	20	45	1245	21	45	5.0	5	5.0	5	10	3	10	3	2	2	1	10	10	5.0	0.83291037526829	1.01400162790815	2016
600119	700038	800007	900005	2016000514	2	5	2	2	2	2	1	1	7	4	6	4	10	10	8	7	10	44	644	11	21	10	54	654	11	21	0.7	1	0.7	1	10	3	6	2	2	2	1	10	6	0.7	0.84282367630119	1.02607027740968	2016
600055	700023	800004	900003	2010000217	2	7	2	2	2	2	1	1	5	3	5	4	23	5	5	4	11	40	700	12	23	12	5	725	13	24	4.0	4	4.0	4	25	4	18	4	8	8	1	25	18	4.0	0.96405825404133	1.24359061478925	2010
600038	700016	800003	900003	2010000217	1	4	1	2	2	2	1	1	7	4	6	14	23	15	12	7	17	30	1050	18	37	17	45	1065	18	38	4.0	4	4.0	4	15	4	12	3	8	8	1	15	12	4.0	0.77522155810472	1.0	2010
600033	700014	800003	900003	2010000217	1	2	1	2	2	2	1	1	7	4	6	23	14	15	12	7	12	30	750	13	25	12	50	770	13	25	4.0	4	4.0	4	20	4	12	3	8	8	1	20	12	4.0	0.77522155810472	1.0	2010
600121	700038	800007	900005	2016000514	2	5	4	2	2	2	1	1	5	3	5	23	8	9	7	6	14	15	855	15	28	14	19	859	15	28	0.7	1	0.7	1	4	2	4	2	2	2	1	4	4	0.7	0.89700263890067	1.09202882217693	2016
600132	700041	800008	900006	2024000309	1	2	2	2	2	2	3	3	23	11	17	15	23	16	13	7	15	0	900	16	30	16	20	980	17	32	16.5	7	16.5	7	80	7	75	7	5	5	1	80	75	16.5	0.73851379517175	1.1352680149619	2024
600096	700032	800006	900005	2016000514	1	5	6	2	2	2	1	1	5	3	5	12	17	13	10	7	16	55	1015	17	34	17	10	1030	18	35	5.7	5	5.7	5	15	4	15	4	2	2	1	15	15	5.7	0.84282367630119	1.02607027740968	2016
600007	700004	800001	900001	2003000111	1	4	1	2	2	2	1	1	22	10	16	23	1	1	1	1	7	15	435	8	10	7	45	465	8	12	9.0	5	9.0	5	30	5	25	4	7	7	1	30	25	9.0	1.49969947338104	1.05674360383393	2003
600139	700045	800009	900006	2024000309	2	2	1	2	2	2	1	1	5	3	5	23	22	23	6	5	10	20	620	11	20	10	35	635	11	21	2.5	3	2.5	3	15	4	15	4	5	5	1	15	15	2.5	0.650519335909	1.0	2024
600035	700014	800003	900003	2010000217	1	2	3	2	2	2	1	1	7	4	6	23	14	15	12	7	18	0	1080	19	39	18	20	1100	19	40	4.0	4	4.0	4	20	4	12	3	8	8	1	20	12	4.0	0.77522155810472	1.0	2010
600009	700005	800001	900001	2003000111	1	5	1	2	2	2	1	1	22	10	16	23	1	1	1	1	7	30	450	8	11	8	10	490	9	13	9.0	5	9.0	5	40	5	30	5	7	7	1	40	30	9.0	1.54388928413391	1.08788137556525	2003
600040	700017	800003	900003	2010000217	1	7	1	2	2	2	1	1	7	4	6	23	6	7	7	6	14	10	850	15	28	14	30	870	15	29	3.0	4	3.0	4	20	4	20	4	8	8	1	20	20	3.0	0.85267576783883	1.09991235270014	2010
600042	700018	800004	900003	2010000217	2	1	1	2	2	2	1	1	5	3	5	23	4	5	5	4	15	0	900	16	30	15	15	915	16	30	4.0	4	4.0	4	15	4	12	3	8	8	1	15	12	4.0	0.77522155810472	1.0	2010
600075	700028	800006	900005	2016000514	1	1	10	2	2	2	1	1	5	3	5	23	8	9	7	6	17	30	1050	18	37	17	32	1052	18	37	0.7	1	0.7	1	2	1	2	1	2	2	1	2	2	0.7	0.82140930778046	1.0	2016
600103	700033	800006	900005	2016000514	1	6	5	2	2	2	1	1	5	3	5	10	23	10	8	7	22	5	1325	23	48	22	15	1335	23	48	4.1	4	4.1	4	10	3	10	3	2	2	1	10	10	4.1	0.83291037526829	1.01400162790815	2016
600027	700012	800002	900002	2005000292	1	6	1	2	2	2	1	1	19	8	13	23	1	1	1	1	7	22	442	8	10	7	58	478	8	12	7.0	5	7.0	5	36	5	36	5	11	11	1	36	36	7.0	0.96301287412643	1.07411567162764	2005
600129	700040	800008	900006	2024000309	1	1	1	2	2	2	1	1	7	4	6	23	6	7	7	6	11	15	675	12	22	11	22	682	12	22	1.0	2	1.0	2	7	2	6	2	5	5	1	7	6	1.0	0.650519335909	1.0	2024
600053	700022	800004	900003	2010000217	2	6	3	2	2	2	1	1	5	3	5	10	23	10	8	7	13	15	795	14	26	13	30	810	14	27	2.5	3	2.5	3	15	4	6	2	8	8	1	15	6	2.5	0.77522155810472	1.0	2010
