thid,tpid,ttid,tidp,tidn,tyearid,tstagesn,thaboro,thiwt,tpiwt,thiwtwkd,tpiwtwkd,thiwtttwkd,tpiwtttwkd,tt1fhm,twalkatw,tcycatw,tppw,tcmode,tsdaddr,tshour,tehour,totimea,tunder5,thover5,tnhover5,tshop,twork,tbulknone,tbulkpc,tbulkscr,tbulkcom,tbulkshop,tbulkspo,tbulkwork,tbulkoth,tabtyoung,tabtoth,tabtnone,tpassn,tpktype,tbcychre,tcycshw,tociox,tocioxb,tosect,toaboro,tofarezn,toccz,tdciox,tdcioxb,tdaboro,tdfarezn,tdccz,todcioxba1,todcioxba2,tdur5,tlen,tspeed5,tleavemon,tleavetue,tleavewed,tleavethu,tleavefri,tleavesat,tleavesun,tjpurp,tdpurp,tdbmmode1,topurp
900003,800010,222252910303,222252910302,222252910304,22,1,5,283.0818897189592,354.5993072272907,398.1291032828286,469.0113907839257,576.3296595732904,680.8984745766935,-1,2,2,1,16,4,17,17,4,0,3,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,10,0.89999998,5,0,0,0,0,0,0,0,05 Leisure,05 Leisure,06 Car (+van/lorry) passenger,07 Home
900003,800010,222252910304,222252910303,-1,22,1,5,283.0818897189592,354.5993072272907,398.1291032828286,469.0113907839257,576.3296595732904,680.8984745766935,-1,2,2,1,16,1,19,19,5,0,3,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,10,0.89999998,5,0,0,0,0,0,0,0,05 Leisure,07 Home,06 Car (+van/lorry) passenger,05 Leisure
900003,800011,222252910402,222252910401,222252910403,22,2,5,283.0818897189592,320.9907490760419,398.1291032828286,420.276369406844,576.3296595732904,519.4651213500523,-1,2,2,2,10,1,15,15,3,0,0,0,2,2,2,2,1,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,40,1.0,0,0,0,0,0,0,0,0,03 Education,07 Home,03 Bus (+sch/ wk bus/coach & tram),03 Education
900003,800011,222252910403,222252910402,222252910404,22,1,5,283.0818897189592,320.9907490760419,398.1291032828286,420.276369406844,576.3296595732904,519.4651213500523,-1,2,2,1,16,4,17,17,4,0,3,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,10,0.89999998,5,0,0,0,0,0,0,0,05 Leisure,05 Leisure,06 Car (+van/lorry) passenger,07 Home
900003,800011,222252910404,222252910403,-1,22,1,5,283.0818897189592,320.9907490760419,398.1291032828286,420.276369406844,576.3296595732904,519.4651213500523,-1,2,2,1,16,1,19,19,5,0,3,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,10,0.89999998,5,0,0,0,0,0,0,0,05 Leisure,07 Home,06 Car (+van/lorry) passenger,05 Leisure
900003,800012,222252910502,222252910501,222252910503,22,1,5,283.0818897189592,227.6158203411302,398.1291032828286,267.1375614964848,576.3296595732904,389.6940614961417,-1,1,2,0,16,1,15,15,3,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,10,0.1,0,0,0,0,0,0,0,0,03 Education,07 Home,09 Walk,03 Education
900003,800012,222252910503,222252910502,222252910504,22,1,5,283.0818897189592,227.6158203411302,398.1291032828286,267.1375614964848,576.3296595732904,389.6940614961417,-1,2,2,1,16,4,17,17,4,0,3,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,10,0.89999998,5,0,0,0,0,0,0,0,05 Leisure,05 Leisure,06 Car (+van/lorry) passenger,07 Home
900003,800012,222252910504,222252910503,-1,22,1,5,283.0818897189592,227.6158203411302,398.1291032828286,267.1375614964848,576.3296595732904,389.6940614961417,-1,2,2,1,16,1,19,19,5,0,3,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,10,0.89999998,5,0,0,0,0,0,0,0,05 Leisure,07 Home,06 Car (+van/lorry) passenger,05 Leisure
900004,800013,223612310101,-1,223612310102,22,1,29,268.5560473148145,209.0615022797088,0.0,0.0,0.0,0.0,1,1,2,0,16,4,15,15,3,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,5,29,0,0,3,3,29,0,0,4,8,25,0.2,0,0,0,0,0,0,0,0,05 Leisure,05 Leisure,09 Walk,07 Home
900004,800013,223612310102,223612310101,-1,22,1,29,268.5560473148145,209.0615022797088,0.0,0.0,0.0,0.0,-1,1,2,0,16,1,15,16,3,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,5,29,0,0,3,3,29,0,0,4,8,30,0.2,0,0,0,0,0,0,0,0,05 Leisure,07 Home,09 Walk,05 Leisure
900004,800014,223612310201,-1,223612310202,22,1,29,268.5560473148145,181.6733979002976,0.0,0.0,0.0,0.0,1,1,2,0,16,4,15,15,3,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,5,29,0,0,3,3,29,0,0,4,8,25,0.2,0,0,0,0,0,0,0,0,05 Leisure,05 Leisure,09 Walk,07 Home
900001,800001,221870410101,-1,221870410102,22,1,3,636.8226380965693,713.7814097995229,0.0,0.0,0.0,0.0,1,1,2,0,16,4,15,15,3,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,3,0,0,2,2,3,0,0,2,8,10,0.60000002,0,0,0,0,0,0,0,0,05 Leisure,05 Leisure,09 Walk,07 Home
900001,800001,221870410102,221870410101,-1,22,1,3,636.8226380965693,713.7814097995229,0.0,0.0,0.0,0.0,-1,1,2,0,16,1,19,19,5,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,3,0,0,2,2,3,0,0,2,8,10,0.60000002,0,0,0,0,0,0,0,0,05 Leisure,07 Home,09 Walk,05 Leisure
900001,800002,221870410201,-1,221870410202,22,1,3,636.8226380965693,540.1918259842757,0.0,0.0,0.0,0.0,1,2,1,1,16,4,15,15,3,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,2,2,2,3,3,0,0,2,2,3,0,0,2,8,10,0.60000002,0,0,0,0,0,0,0,0,05 Leisure,05 Leisure,08 Cycle,07 Home
900001,800002,221870410202,221870410201,-1,22,1,3,636.8226380965693,540.1918259842757,0.0,0.0,0.0,0.0,-1,2,1,1,16,1,19,19,5,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,2,2,2,3,3,0,0,2,2,3,0,0,2,8,10,0.60000002,0,0,0,0,0,0,0,0,05 Leisure,07 Home,08 Cycle,05 Leisure
900001,800003,221870410302,221870410301,221870410303,22,1,3,636.8226380965693,664.2059026878923,0.0,0.0,0.0,0.0,-1,2,2,0,16,4,13,13,3,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,2,2,3,3,0,0,2,2,3,0,0,2,8,15,0.0,0,0,0,0,0,0,0,0,04 Shopping and personal business,04 Shopping and personal business,09 Walk,04 Shopping and personal business
900001,800003,221870410303,221870410302,-1,22,1,3,636.8226380965693,664.2059026878923,0.0,0.0,0.0,0.0,-1,1,2,0,16,1,13,13,3,0,0,0,2,2,2,2,2,2,1,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,3,0,0,2,2,3,0,0,2,8,5,0.60000002,5,0,0,0,0,0,0,0,04 Shopping and personal business,07 Home,09 Walk,04 Shopping and personal business
