shid,spid,stid,ssid,sidp,sidn,syearid,spidno,stseqno,sseqno,shaboro,shiwt,spiwt,shiwtwkd,spiwtwkd,shiwtttwkd,spiwtttwkd,spiwtlul,smode,samode,semode,swalkdur,sbchs,sinttype,srdsht,srdshtp,srsdiffmode,sociox,socioxb,sosect,soaboro,sofarezn,soccz,sdciox,sdcioxb,sdsect,sdaboro,sdfarezn,sdccz,sodcioxba1,sodcioxba2,slenn,slen100m,sdur5,sspeed5,staxib
22187041,800002,221870410201,22187041020101,-1,-1,22,2,1,1,3,636.8226380965693,540.1918259842757,0.0,0.0,0.0,0.0,0,2,-1,-1,-1,-1,11,-1,-1,-1,2,2,3,3,0,0,2,2,3,3,0,0,2,8,0.68099999,0.60000002,10,0,-1
22187041,800002,221870410202,22187041020201,-1,-1,22,2,2,1,3,636.8226380965693,540.1918259842757,0.0,0.0,0.0,0.0,0,2,-1,-1,-1,-1,11,-1,-1,-1,2,2,3,3,0,0,2,2,3,3,0,0,2,8,0.68099999,0.60000002,10,0,-1
22187041,800001,221870410101,22187041010101,-1,-1,22,1,1,1,3,636.8226380965693,713.7814097995229,0.0,0.0,0.0,0.0,0,1,-1,-1,10,-1,11,-1,-1,-1,2,2,3,3,0,0,2,2,3,3,0,0,2,8,0.68099999,0.60000002,10,0,-1
22187041,800001,221870410102,22187041010201,-1,-1,22,1,2,1,3,636.8226380965693,713.7814097995229,0.0,0.0,0.0,0.0,0,1,-1,-1,10,-1,11,-1,-1,-1,2,2,3,3,0,0,2,2,3,3,0,0,2,8,0.68099999,0.60000002,10,0,-1
22210071,800005,222100710202,22210071020203,22210071020202,-1,22,2,2,3,4,503.2361409442344,520.6192097708343,660.6605311803039,594.2732428035657,0.0,0.0,0,1,24,-1,10,-1,11,-1,-1,-1,2,2,2,4,0,0,3,3,7,18,0,0,6,7,0.67500001,0.60000002,10,0,-1
22210071,800006,222100710302,22210071030203,22210071030202,-1,22,3,2,3,4,503.2361409442344,520.6192097708343,660.6605311803039,594.2732428035657,0.0,0.0,0,1,24,-1,10,-1,11,-1,-1,-1,2,2,2,4,0,0,3,3,7,18,0,0,6,7,0.67500001,0.60000002,10,0,-1
22225291,800011,222252910401,22225291040101,-1,22225291040102,22,4,1,1,5,283.0818897189592,320.9907490760419,398.1291032828286,420.276369406844,576.3296595732904,519.4651213500523,0,1,-1,13,5,-1,2,-1,-1,-1,2,2,3,5,0,0,2,2,3,5,0,0,2,8,0.60299999,0.60000002,10,0,-1
22225291,800008,222252910102,22225291010201,-1,-1,22,1,2,1,5,283.0818897189592,395.914843881178,398.1291032828286,632.0034553199598,576.3296595732904,855.3429688560727,0,1,-1,-1,5,-1,11,-1,-1,-1,2,2,3,5,0,0,2,2,3,5,0,0,2,8,0.42399999,0.40000001,5,5,-1
22225291,800008,222252910103,22225291010301,-1,-1,22,1,3,1,5,283.0818897189592,395.914843881178,398.1291032828286,632.0034553199598,576.3296595732904,855.3429688560727,0,1,-1,-1,5,-1,11,-1,-1,-1,2,2,3,5,0,0,2,2,3,5,0,0,2,8,0.42399999,0.40000001,5,5,-1
22210071,800004,222100710101,22210071010101,-1,-1,22,1,1,1,4,503.2361409442344,505.2160482262663,660.6605311803039,750.6393901422294,0.0,0.0,0,1,-1,-1,3,-1,11,-1,-1,-1,3,3,7,18,0,0,3,3,7,18,0,0,4,8,0.391,0.30000001,0,5,-1
