TRIPID,HHID,PERSID,STARTSTOP,ENDSTOP,STARTIME,ORIGPLACE,ORIGPURP,ORIGSA1_2021,DESTPLACE,DESTPURP,DESTSA1_2021,MAINMODE,MODE1,MODE2,MODE3,MODE4,MODE5,MODE6,MODE7,MODE8,ARRTIME,DURATION,TRAVTIME,CUMDIST,OVERALL_PURPOSE,TRIPWGT24
1438041000002,143804,143804/1000,2,2,690,My workplace,Work (my workplace),30907155205,My home,Go home,30907125214,Car driver,Car driver,,,,,,,,730,,40,22.26,Direct Work Commute,148.03867
1438041001001,143804,143804/1001,1,1,230,My home,At Home,30907125214,Primary or secondary school,Pick up or drop off a passenger,30907125217,Car driver,Car driver,,,,,,,,255,0,25,4.54,Pickup/Dropoff Someone,158.04915
1438041001002,143804,143804/1001,2,2,255,Primary or secondary school,Pick up or drop off a passenger,30907125217,My workplace,Work (my workplace),30907125225,Car driver,Car driver,,,,,,,,265,395,10,2.52,Work Related,158.04915
1438041001003,143804,143804/1001,3,3,660,My workplace,Work (my workplace),30907125225,Primary or secondary school,Pick up or drop off a passenger,30907125217,Car driver,Car driver,,,,,,,,670,0,10,2.55,Pickup/Dropoff Someone,158.04915
1438041001004,143804,143804/1001,4,4,670,Primary or secondary school,Pick up or drop off a passenger,30907125217,My home,Go home,30907125214,Car driver,Car driver,,,,,,,,690,,20,4.47,Pickup/Dropoff Someone,158.04915
1438041002001,143804,143804/1002,1,1,230,My home,At Home,30907125214,Primary or secondary school,Education,30907125217,Car passenger,Car passenger,,,,,,,,255,415,25,4.54,Education,190.19101
1438041002002,143804,143804/1002,2,2,670,Primary or secondary school,Education,30907125217,My home,Go home,30907125214,Car passenger,Car passenger,,,,,,,,690,,20,4.47,Education,190.19101
1438041003001,143804,143804/1003,1,1,230,My home,At Home,30907125214,Primary or secondary school,Education,30907125217,Car passenger,Car passenger,,,,,,,,255,415,25,4.54,Education,155.44946
1438041003002,143804,143804/1003,2,2,670,Primary or secondary school,Education,30907125217,My home,Go home,30907125214,Car passenger,Car passenger,,,,,,,,690,,20,4.47,Education,155.44946
1419731000001,141973,141973/1000,1,3,155,My home,At Home,30102101241,My workplace,Work (my workplace),30501111001,Train,Car driver,Train,Walking,,,,,,233,321,78,42.49,Direct Work Commute,79.775688
1419731000006,141973,141973/1000,6,8,766,My workplace,Work (my workplace),30501111001,My home,Go home,30102101241,Train,Walking,Train,Car driver,,,,,,865,,99,42.53,Direct Work Commute,79.775688
1431841004002,143184,143184/1004,2,4,660,Primary or secondary school,Education,30102100939,My home,Go home,30102100916,School bus (with route number),Walking,School bus (with route number),Walking,,,,,,695,55,35,4.33,Education,111.68714
1751621000001,175162,175162/1000,1,1,180,My home,At Home,30905124510,My workplace,Work (my workplace),30902123002,Car driver,Car driver,,,,,,,,210,540,30,18.35,Direct Work Commute,183.14612
1751621000002,175162,175162/1000,2,2,750,My workplace,Work (my workplace),30902123002,My home,Go home,30905124510,Car driver,Car driver,,,,,,,,780,,30,17.54,Direct Work Commute,183.14612
1751621001001,175162,175162/1001,1,1,240,My home,At Home,30905124510,Primary or secondary school,Pick up or drop off a passenger,30905124510,Car driver,Car driver,,,,,,,,245,10,5,1.62,Pickup/Dropoff Someone,157.74724
1751621001002,175162,175162/1001,2,2,255,Primary or secondary school,Pick up or drop off a passenger,30905124510,My home,Go home,30905124510,Car driver,Car driver,,,,,,,,260,395,5,1.64,Pickup/Dropoff Someone,157.74724
1751621001003,175162,175162/1001,3,3,655,My home,Go home,30905124510,Primary or secondary school,Pick up or drop off a passenger,30905124510,Car driver,Car driver,,,,,,,,660,10,5,1.62,Pickup/Dropoff Someone,157.74724
1751621001004,175162,175162/1001,4,4,670,Primary or secondary school,Pick up or drop off a passenger,30905124510,My home,Go home,30905124510,Car driver,Car driver,,,,,,,,675,,5,1.64,Pickup/Dropoff Someone,157.74724
1751621002001,175162,175162/1002,1,1,240,My home,At Home,30905124510,My campus,Education,30905124510,Car passenger,Car passenger,,,,,,,,245,425,5,1.62,Education,203.71049
1751621002002,175162,175162/1002,2,2,670,My campus,Education,30905124510,My home,Go home,30905124510,Car passenger,Car passenger,,,,,,,,675,,5,1.64,Education,203.71049
